,host_acceptance_rate,host_is_superhost,host_identity_verified,latitude,bathrooms,price,has_availability,instant_bookable,Private room,within a day,within a few hours,kitchen,Breakfast,Nespresso machine,TV,security_cameras,Wifi,hot_water,log_min_nights,log_max_nights,log_nreviews,log_accommo
7728,99.0,0,1,37.97738,1.0,39.0,1,1,0,0,0,1,0,0,1,0,1,1,0.4054651081081644,7.025982660346787,2.8622008809294686,0.9162907318741551
7729,97.0,0,0,37.9901,3.0,9.0,1,1,0,0,0,1,1,0,1,0,1,0,0.4054651081081644,7.025982660346787,2.3513752571634776,2.4423470353692043
7730,99.0,0,1,37.98131,1.0,44.0,1,1,0,0,0,1,0,0,0,0,1,0,0.4054651081081644,7.025982660346787,1.252762968495368,0.9162907318741551
7731,97.0,0,0,37.99037,3.0,9.0,1,1,0,0,0,1,1,0,1,0,1,0,0.4054651081081644,7.025982660346787,2.0149030205422647,2.4423470353692043
7732,98.0,1,1,37.97065,1.0,56.0,1,1,0,0,0,1,0,1,1,0,1,1,0.9162907318741551,2.6741486494265287,3.2771447329921766,1.252762968495368
7733,100.0,0,1,37.980990000000006,1.5,40.0,1,0,0,1,0,1,0,0,1,0,1,1,4.102643365036796,7.025982660346787,1.5040773967762742,1.8718021769015913
7734,72.0,1,0,38.00871,1.0,31.0,1,1,0,0,1,1,0,1,1,0,1,0,0.9162907318741551,3.417726683613366,1.8718021769015913,1.5040773967762742
7735,100.0,0,1,37.99831,1.0,18.0,1,1,0,0,0,1,0,0,1,0,1,0,2.0149030205422647,3.3843902633457743,2.0149030205422647,1.252762968495368
7736,100.0,1,1,37.98286,1.0,28.0,1,1,0,0,0,1,0,1,1,0,1,1,1.5040773967762742,7.025982660346787,1.8718021769015913,0.9162907318741551
7737,99.0,0,1,38.00897,1.0,49.0,1,1,0,0,0,1,0,0,1,0,1,1,0.4054651081081644,7.025982660346787,0.9162907318741551,1.5040773967762742
7738,99.0,0,1,37.99621,1.0,33.0,1,1,0,0,0,1,0,0,1,0,1,0,0.4054651081081644,7.025982660346787,1.7047480922384253,1.252762968495368
7739,80.0,0,1,37.97362,1.0,35.0,1,0,1,0,1,1,0,0,1,0,1,1,0.9162907318741551,7.025982660346787,1.5040773967762742,0.9162907318741551
7740,100.0,0,0,38.00595,1.0,50.0,0,0,0,0,0,1,0,0,1,0,1,0,0.4054651081081644,2.1400661634962708,-0.6931471805599453,1.5040773967762742
7741,100.0,1,1,37.96271,1.0,90.0,1,1,0,0,0,1,0,0,1,0,1,1,0.4054651081081644,7.025982660346787,4.639571612705423,0.9162907318741551
7742,100.0,0,1,37.967690000000005,1.0,31.0,1,1,0,0,0,0,0,0,1,0,1,0,3.417726683613366,5.901266279189834,-0.6931471805599453,0.9162907318741551
7743,96.0,0,1,37.96589,1.0,69.0,1,1,0,0,0,1,1,0,1,1,1,1,0.4054651081081644,7.025982660346787,2.917770732084279,0.9162907318741551
7744,96.0,0,1,37.96669,1.0,176.0,1,1,0,0,0,1,1,0,1,1,1,1,0.4054651081081644,7.025982660346787,3.068052935133617,0.9162907318741551
7745,96.0,0,1,37.96585,1.0,89.0,1,1,0,0,0,1,1,0,1,1,1,1,0.4054651081081644,7.025982660346787,0.9162907318741551,0.9162907318741551
